DB 2 MOTIF	CTCF_HUMAN.H11MO.0.A
  36.5	2
  37.5	7
  38.5	4
  39.5	4
  40.5	3
  41.5	5
  42.5	6
  43.5	5
  44.5	2
  45.5	4
  46.5	4
  47.5	6
  48.5	6
  49.5	5
  50.5	3
  51.5	2
  52.5	6
  53.5	4
  54.5	7.16667
  55.5	3
  56.5	5
  57.5	5
  58.5	5
  59.5	4
  60.5	5
  61.5	3
  62.5	3
  63.5	6
  64.5	6
  65.5	11
  66.5	3
  67.5	1
  68.5	2
  69.5	3
  70.5	2
  71.5	7
  72.5	3
  73.5	7
  74.5	6
  75.5	5
  76.5	3
  77.5	2
  78.5	3
  79.5	6
  80.5	4
  81.5	4
  82.5	4
  83.5	3
  84.5	5
  85.5	6
  86.5	4
  87.5	6
  88.5	4
  89.5	3
  90.5	1
  91.5	2
  92.5	4
  93.5	7
  94.5	6
  95.5	4
  96.5	2
  97.5	3
  98.5	1
  99.5	2
 100.5	6
 101.5	7
 102.5	4
 103.5	5
 104.5	4
 105.5	7
 106.5	3
 107.5	7
 108.5	7
 109.5	4
 110.5	3
 111.5	4
 112.5	2
 113.5	9
 114.5	9
 115.5	6
 116.5	7
 117.5	6
 118.5	3
 119.5	6
 120.5	8
 121.5	5
 122.5	6.16667
 123.5	5
 124.5	9
 125.5	6
 126.5	6
 127.5	4
 128.5	6
 129.5	4
 130.5	7
 131.5	3
 132.5	2.5
 133.5	6
 134.5	1
 135.5	5
 136.5	6
 137.5	3
 138.5	5
 139.5	6
 140.5	3
 141.5	4
 142.5	4
 143.5	4
 144.5	5
 145.5	3
 146.5	3
 147.5	8
 148.5	4
 149.5	7
 150.5	7
 151.5	2
 152.5	5
 153.5	4
 154.5	5
 155.5	3
 156.5	0
 157.5	6
 158.5	3
 159.5	4
 160.5	2
 161.5	3
 162.5	3
 163.5	4
 164.5	4
 165.5	4.5
 166.5	8
 167.5	5
 168.5	4
 169.5	7
 170.5	2
 171.5	1
 172.5	9
 173.5	5
 174.5	4
 175.5	7
 176.5	9
 177.5	6
 178.5	4
 179.5	5
 180.5	6
 181.5	5
 182.5	8
 183.5	2
 184.5	4
 185.5	6.5
 186.5	6
 187.5	5
 188.5	2
 189.5	3
 190.5	3
 191.5	3
 192.5	7
 193.5	2
 194.5	3
 195.5	5
 196.5	5
 197.5	7
 198.5	6
 199.5	6
 200.5	10
 201.5	6
 202.5	3
 203.5	3
 204.5	6
 205.5	4
 206.5	2
 207.5	10
 208.5	3
 209.5	4
 210.5	3
 211.5	3
 212.5	3
 213.5	6
 214.5	6
 215.5	5
 216.5	10
 217.5	3
 218.5	5
 219.5	5
 220.5	3
 221.5	4
 222.5	8.16667
 223.5	5
 224.5	4
 225.5	5
 226.5	2
 227.5	2
 228.5	5
 229.5	5
 230.5	4
 231.5	8
 232.5	2
 233.5	6
 234.5	2
 235.5	3
 236.5	5
 237.5	6
 238.5	7
 239.5	3
 240.5	4
 241.5	6
 242.5	5
 243.5	2
 244.5	4
 245.5	2
 246.5	4
 247.5	6
 248.5	7
 249.5	3
 250.5	3
 251.5	6
 252.5	4
 253.5	2
 254.5	5
 255.5	4
 256.5	5
 257.5	1
 258.5	10
 259.5	6
 260.5	1
 261.5	6
 262.5	7
 263.5	4
 264.5	5
 265.5	4
 266.5	3
 267.5	5
 268.5	6
 269.5	2
 270.5	3.5
 271.5	8
 272.5	6
 273.5	8
 274.5	5
 275.5	4
 276.5	6
 277.5	4
 278.5	6
 279.5	5
 280.5	2.5
 281.5	5
 282.5	5
 283.5	4
 284.5	4
 285.5	6
 286.5	3
 287.5	6
 288.5	1
 289.5	5
 290.5	5
 291.5	5
 292.5	4
 293.5	5
 294.5	5
 295.5	1
 296.5	5
 297.5	7
 298.5	6
 299.5	5
 300.5	0
 301.5	3
 302.5	6
